NUMBER,NAME,POS,AGE,HEIGHT,WEIGHT
2,Lonzo Ball,PG,20,6-6,190
None,Isaac Bonga,PG,18,6-9,203
1,Kentavious Caldwell-Pope,SG,25,6-5,205
4,Alex Caruso,SG,24,6-5,186
9,Luol Deng,SF,33,6-9,220
12,Channing Frye,PF,35,6-11,255
5,Josh Hart,SG,23,6-5,215
20,Andre Ingram,SG,32,6-3,190
14,Brandon Ingram,SF,20,6-9,190
23,LeBron James,SF,33,6-8,250
0,Kyle Kuzma,PF,22,6-9,220
1,JaVale McGee,C,30,7-0,270
None,Sviatoslav Mykhailiuk,SF,21,6-8,212
None,Malik Newman,SG,21,6-3,190
23,Gary Payton II,PG,25,6-3,190
9,Rajon Rondo,PG,32,6-1,186
1,Lance Stephenson,SG,27,6-6,230
3,Isaiah Thomas,PG,29,5-9,185
None,Moritz Wagner,PF,21,7-0,241
21,Travis Wear,SF,27,6-10,225
40,Ivica Zubac,C,21,7-1,240
