name,number,position,height,weight,birthdate,age
"Enes Kanter",00,C,6-11,245,"MAY 20 1992",26
"Troy Williams",0,F,6-7,218,"DEC 30 1994",23
"Emmanuel Mudiay",1,G,6-5,200,"MAR 05 1996",22
"Luke Kornet",2,F-C,7-1,250,"JUL 15 1995",22
"Tim Hardaway Jr.",3,F-G,6-6,205,"MAR 16 1992",26
"Isaiah Hicks",4,F,6-9,242,"JUL 24 1994",23
"Courtney Lee",5,G,6-5,200,"OCT 03,1985",32
"Kristaps Porzingis",6,F-C,7-3,240,"AUG 02 1995",22
"Michael Beasley",8,F,6-9,235,"JAN 09,1989",29
"Kyle O'Quinn",9,C-F,6-10,250,"MAR 26 1990",28
"Frank Ntilikina",11,G,6-5,190,"JUL 28 1998",19
"Joakim Noah",13,C,6-11,230,"FEB 25,1985",33
"Damyean Dotson",21,G,6-5,210,"MAY 06 1994",24
"Trey Burke",23,G,6-1,191,"NOV 12 1992",25
"Ron Baker",31,G,6-4,220,"MAR 30 1993",25
"Lance Thomas",42,F,6-8,235,"APR 24,1988",30
"Jarrett Jack",55,G,6-3,200,"OCT 28,1983",34
